Age,Height,Weight,Body_Type,Index,Shape
30,154,57,Ectomorph,0,slender
49,186,65,Ectomorph,0,slender
24,187,57,Ectomorph,0,slender
76,179,50,Ectomorph,0,slender
68,158,54,Ectomorph,0,slender
39,183,52,Ectomorph,0,slender
45,193,50,Ectomorph,0,slender
19,184,53,Ectomorph,0,slender
59,171,89,Ectomorph,0,slender
62,193,84,Ectomorph,0,slender
79,173,81,Ectomorph,0,slender
74,166,83,Ectomorph,0,slender
70,159,74,Ectomorph,0,slender
23,179,59,Ectomorph,0,slender
45,195,70,Ectomorph,0,slender
45,172,88,Ectomorph,0,slender
61,181,76,Ectomorph,0,slender
61,166,76,Ectomorph,0,slender
37,199,51,Ectomorph,0,slender
47,166,62,Ectomorph,0,slender
79,163,58,Ectomorph,0,slender
28,158,85,Ectomorph,0,slender
75,189,71,Ectomorph,0,slender
72,151,75,Ectomorph,0,slender
45,194,61,Ectomorph,0,slender
42,174,66,Ectomorph,0,slender
56,188,63,Ectomorph,0,slender
79,158,63,Ectomorph,0,slender
50,171,83,Ectomorph,0,slender
18,192,69,Ectomorph,0,slender
74,195,60,Ectomorph,0,slender
44,153,65,Ectomorph,0,slender
79,175,80,Ectomorph,0,slender
74,178,55,Ectomorph,0,slender
69,194,68,Ectomorph,0,slender
30,183,86,Ectomorph,0,slender
58,172,53,Ectomorph,0,slender
20,186,53,Ectomorph,0,slender
56,160,69,Ectomorph,0,slender
23,155,59,Ectomorph,0,slender
25,167,73,Ectomorph,0,slender
44,170,84,Ectomorph,0,slender
26,191,75,Ectomorph,0,slender
79,185,86,Ectomorph,0,slender
54,190,87,Ectomorph,0,slender
50,187,70,Ectomorph,0,slender
68,183,89,Ectomorph,0,slender
59,166,88,Ectomorph,0,slender
61,186,70,Ectomorph,0,slender
41,174,59,Ectomorph,0,slender
32,187,87,Ectomorph,0,slender
76,161,53,Ectomorph,0,slender
71,172,69,Ectomorph,0,slender
49,191,66,Ectomorph,0,slender
49,171,56,Ectomorph,0,slender
41,170,53,Ectomorph,0,slender
58,176,78,Ectomorph,0,slender
69,180,63,Ectomorph,0,slender
66,155,52,Ectomorph,0,slender
79,176,73,Ectomorph,0,slender
66,189,86,Ectomorph,0,slender
75,183,65,Ectomorph,0,slender
69,161,53,Ectomorph,0,slender
29,194,73,Ectomorph,0,slender
79,156,83,Ectomorph,0,slender
56,159,79,Ectomorph,0,slender
19,194,67,Ectomorph,0,slender
20,166,68,Ectomorph,0,slender
66,175,80,Ectomorph,0,slender
54,170,68,Ectomorph,0,slender
66,177,68,Ectomorph,0,slender
73,195,71,Ectomorph,0,slender
34,151,73,Ectomorph,0,slender
76,192,61,Ectomorph,0,slender
66,150,79,Ectomorph,0,slender
19,185,87,Ectomorph,0,slender
19,175,80,Ectomorph,0,slender
45,178,85,Ectomorph,0,slender
71,170,68,Ectomorph,0,slender
40,160,85,Ectomorph,0,slender
54,189,79,Ectomorph,0,slender
49,160,82,Ectomorph,0,slender
50,185,67,Ectomorph,0,slender
18,198,77,Ectomorph,0,slender
36,188,60,Ectomorph,0,slender
79,189,82,Ectomorph,0,slender
19,184,66,Ectomorph,0,slender
70,183,55,Ectomorph,0,slender
61,196,53,Ectomorph,0,slender
43,173,69,Ectomorph,0,slender
49,171,76,Ectomorph,0,slender
23,154,64,Ectomorph,0,slender
49,182,55,Ectomorph,0,slender
72,185,63,Ectomorph,0,slender
21,196,60,Ectomorph,0,slender
72,169,88,Ectomorph,0,slender
28,168,58,Ectomorph,0,slender
73,184,75,Ectomorph,0,slender
76,192,65,Ectomorph,0,slender
34,166,54,Ectomorph,0,slender
55,194,59,Ectomorph,0,slender
41,192,52,Ectomorph,0,slender
22,183,62,Ectomorph,0,slender
69,158,79,Ectomorph,0,slender
51,175,55,Ectomorph,0,slender
23,151,66,Ectomorph,0,slender
39,158,68,Ectomorph,0,slender
28,158,84,Ectomorph,0,slender
65,189,75,Ectomorph,0,slender
33,166,54,Ectomorph,0,slender
50,150,78,Ectomorph,0,slender
26,174,86,Ectomorph,0,slender
77,192,69,Ectomorph,0,slender
76,189,70,Ectomorph,0,slender
23,191,59,Ectomorph,0,slender
33,174,54,Ectomorph,0,slender
46,188,85,Ectomorph,0,slender
20,184,55,Ectomorph,0,slender
37,152,75,Ectomorph,0,slender
77,199,53,Ectomorph,0,slender
76,186,88,Ectomorph,0,slender
53,193,88,Ectomorph,0,slender
36,193,84,Ectomorph,0,slender
43,179,50,Ectomorph,0,slender
20,187,73,Ectomorph,0,slender
36,183,85,Ectomorph,0,slender
37,161,55,Ectomorph,0,slender
49,168,80,Ectomorph,0,slender
24,186,69,Ectomorph,0,slender
69,193,73,Ectomorph,0,slender
58,198,74,Ectomorph,0,slender
50,166,85,Ectomorph,0,slender
57,159,70,Ectomorph,0,slender
56,198,79,Ectomorph,0,slender
35,196,73,Ectomorph,0,slender
57,161,79,Ectomorph,0,slender
18,165,71,Ectomorph,0,slender
28,173,77,Ectomorph,0,slender
45,168,56,Ectomorph,0,slender
74,157,84,Ectomorph,0,slender
42,180,77,Ectomorph,0,slender
67,170,63,Ectomorph,0,slender
40,166,59,Ectomorph,0,slender
48,172,65,Ectomorph,0,slender
47,186,65,Ectomorph,0,slender
59,165,80,Ectomorph,0,slender
52,155,74,Ectomorph,0,slender
24,157,62,Ectomorph,0,slender
77,174,55,Ectomorph,0,slender
33,167,58,Ectomorph,0,slender
43,174,85,Ectomorph,0,slender
65,161,69,Ectomorph,0,slender
74,164,67,Ectomorph,0,slender
69,175,70,Ectomorph,0,slender
77,190,53,Ectomorph,0,slender
66,194,82,Ectomorph,0,slender
19,175,76,Ectomorph,0,slender
18,196,56,Ectomorph,0,slender
65,181,55,Ectomorph,0,slender
79,159,64,Ectomorph,0,slender
29,165,67,Ectomorph,0,slender
22,156,81,Ectomorph,0,slender
54,166,60,Ectomorph,0,slender
49,172,69,Ectomorph,0,slender
76,175,73,Ectomorph,0,slender
72,170,64,Ectomorph,0,slender
26,171,56,Ectomorph,0,slender
58,156,70,Ectomorph,0,slender
52,163,75,Ectomorph,0,slender
36,164,63,Ectomorph,0,slender
65,156,86,Ectomorph,0,slender
33,158,70,Ectomorph,0,slender
20,197,67,Ectomorph,0,slender
37,157,54,Ectomorph,0,slender
41,199,52,Ectomorph,0,slender
71,172,72,Ectomorph,0,slender
73,178,75,Ectomorph,0,slender
50,167,86,Ectomorph,0,slender
41,180,73,Ectomorph,0,slender
69,179,68,Ectomorph,0,slender
28,188,74,Ectomorph,0,slender
66,184,70,Ectomorph,0,slender
25,167,61,Ectomorph,0,slender
53,191,82,Ectomorph,0,slender
55,188,53,Ectomorph,0,slender
57,166,56,Ectomorph,0,slender
37,163,71,Ectomorph,0,slender
79,180,82,Ectomorph,0,slender
52,173,66,Ectomorph,0,slender
65,184,73,Ectomorph,0,slender
79,193,83,Ectomorph,0,slender
42,194,77,Ectomorph,0,slender
52,183,88,Ectomorph,0,slender
42,152,71,Ectomorph,0,slender
46,186,66,Ectomorph,0,slender
35,192,83,Ectomorph,0,slender
63,189,55,Ectomorph,0,slender
35,175,55,Ectomorph,0,slender
19,172,83,Ectomorph,0,slender
71,193,50,Ectomorph,0,slender
52,188,59,Ectomorph,0,slender
33,164,70,Ectomorph,0,slender
78,198,54,Ectomorph,0,slender
58,153,51,Ectomorph,0,slender
53,178,71,Ectomorph,0,slender
50,171,51,Ectomorph,0,slender
21,174,59,Ectomorph,0,slender
50,162,83,Ectomorph,0,slender
31,167,65,Ectomorph,0,slender
38,182,88,Ectomorph,0,slender
65,165,71,Ectomorph,0,slender
37,194,61,Ectomorph,0,slender
73,191,73,Ectomorph,0,slender
25,193,89,Ectomorph,0,slender
24,151,87,Ectomorph,0,slender
20,184,59,Ectomorph,0,slender
34,191,84,Ectomorph,0,slender
50,183,81,Ectomorph,0,slender
65,179,56,Ectomorph,0,slender
29,162,70,Ectomorph,0,slender
76,162,69,Ectomorph,0,slender
68,167,75,Ectomorph,0,slender
39,181,53,Ectomorph,0,slender
72,181,71,Ectomorph,0,slender
39,184,64,Ectomorph,0,slender
63,188,89,Ectomorph,0,slender
47,195,70,Ectomorph,0,slender
55,178,64,Ectomorph,0,slender
55,198,71,Ectomorph,0,slender
62,178,77,Ectomorph,0,slender
68,193,63,Ectomorph,0,slender
71,165,76,Ectomorph,0,slender
25,193,89,Ectomorph,0,slender
44,196,77,Ectomorph,0,slender
44,159,75,Ectomorph,0,slender
51,179,51,Ectomorph,0,slender
38,174,74,Ectomorph,0,slender
47,188,52,Ectomorph,0,slender
50,169,57,Ectomorph,0,slender
45,154,82,Ectomorph,0,slender
64,150,84,Ectomorph,0,slender
50,179,55,Ectomorph,0,slender
22,198,88,Ectomorph,0,slender
77,152,72,Ectomorph,0,slender
78,194,74,Ectomorph,0,slender
65,163,68,Ectomorph,0,slender
36,179,54,Ectomorph,0,slender
21,199,60,Ectomorph,0,slender
52,153,61,Ectomorph,0,slender
66,167,59,Ectomorph,0,slender
34,186,57,Ectomorph,0,slender
61,174,73,Ectomorph,0,slender
45,197,77,Ectomorph,0,slender
47,150,85,Ectomorph,0,slender
46,195,86,Ectomorph,0,slender
63,164,70,Ectomorph,0,slender
70,158,57,Ectomorph,0,slender
23,164,58,Ectomorph,0,slender
52,198,64,Ectomorph,0,slender
77,173,89,Ectomorph,0,slender
58,153,67,Ectomorph,0,slender
54,161,69,Ectomorph,0,slender
41,186,55,Ectomorph,0,slender
46,186,61,Ectomorph,0,slender
66,192,51,Ectomorph,0,slender
63,155,56,Ectomorph,0,slender
70,188,65,Ectomorph,0,slender
48,195,52,Ectomorph,0,slender
52,173,52,Ectomorph,0,slender
77,160,76,Ectomorph,0,slender
50,162,89,Ectomorph,0,slender
69,183,87,Ectomorph,0,slender
78,174,82,Ectomorph,0,slender
38,156,77,Ectomorph,0,slender
49,153,50,Ectomorph,0,slender
40,157,57,Ectomorph,0,slender
50,169,86,Ectomorph,0,slender
20,178,81,Ectomorph,0,slender
35,194,86,Ectomorph,0,slender
42,195,53,Ectomorph,0,slender
59,159,79,Ectomorph,0,slender
48,192,55,Ectomorph,0,slender
71,183,68,Ectomorph,0,slender
75,175,81,Ectomorph,0,slender
20,190,58,Ectomorph,0,slender
57,198,61,Ectomorph,0,slender
63,152,60,Ectomorph,0,slender
41,155,65,Ectomorph,0,slender
67,154,50,Ectomorph,0,slender
49,154,70,Ectomorph,0,slender
64,196,79,Ectomorph,0,slender
39,172,62,Ectomorph,0,slender
40,198,83,Ectomorph,0,slender
19,158,53,Ectomorph,0,slender
44,184,77,Ectomorph,0,slender
59,169,87,Ectomorph,0,slender
19,198,80,Ectomorph,0,slender
43,191,76,Ectomorph,0,slender
34,184,54,Ectomorph,0,slender
57,199,74,Ectomorph,0,slender
50,167,52,Ectomorph,0,slender
26,166,82,Ectomorph,0,slender
60,173,53,Ectomorph,0,slender
71,152,74,Ectomorph,0,slender
65,181,69,Ectomorph,0,slender
56,184,83,Ectomorph,0,slender
46,187,75,Ectomorph,0,slender
59,162,54,Ectomorph,0,slender
72,196,84,Ectomorph,0,slender
43,174,77,Ectomorph,0,slender
52,158,78,Ectomorph,0,slender
67,153,58,Ectomorph,0,slender
42,163,87,Ectomorph,0,slender
41,186,55,Ectomorph,0,slender
30,183,68,Ectomorph,0,slender
77,160,60,Ectomorph,0,slender
75,190,51,Ectomorph,0,slender
24,152,58,Ectomorph,0,slender
74,177,70,Ectomorph,0,slender
53,178,73,Ectomorph,0,slender
62,158,83,Ectomorph,0,slender
37,152,71,Ectomorph,0,slender
18,174,52,Ectomorph,0,slender
25,183,61,Ectomorph,0,slender
63,161,77,Ectomorph,0,slender
33,191,79,Ectomorph,0,slender
31,158,75,Ectomorph,0,slender
29,164,70,Ectomorph,0,slender
68,189,77,Ectomorph,0,slender
40,174,75,Ectomorph,0,slender
32,154,82,Ectomorph,0,slender
45,160,70,Ectomorph,0,slender
51,183,84,Ectomorph,0,slender
19,173,83,Ectomorph,0,slender
49,164,67,Ectomorph,0,slender
40,187,60,Ectomorph,0,slender
39,157,72,Ectomorph,0,slender
68,154,71,Ectomorph,0,slender
42,197,66,Ectomorph,0,slender
75,175,54,Ectomorph,0,slender
79,167,60,Ectomorph,0,slender
78,155,79,Ectomorph,0,slender
39,186,64,Ectomorph,0,slender
75,197,76,Ectomorph,0,slender
75,162,84,Ectomorph,0,slender
39,177,82,Ectomorph,0,slender
66,154,69,Ectomorph,0,slender
69,162,65,Ectomorph,0,slender
59,166,83,Ectomorph,0,slender
23,199,51,Ectomorph,0,slender
32,189,84,Ectomorph,0,slender
71,194,89,Ectomorph,0,slender
60,181,77,Ectomorph,0,slender
77,178,88,Ectomorph,0,slender
54,152,55,Ectomorph,0,slender
50,189,58,Ectomorph,0,slender
25,183,69,Ectomorph,0,slender
70,189,50,Ectomorph,0,slender
77,176,57,Ectomorph,0,slender
61,162,72,Ectomorph,0,slender
61,194,52,Ectomorph,0,slender
22,182,53,Ectomorph,0,slender
56,155,74,Ectomorph,0,slender
21,173,87,Ectomorph,0,slender
23,168,64,Ectomorph,0,slender
62,165,70,Ectomorph,0,slender
49,189,84,Ectomorph,0,slender
69,177,63,Ectomorph,0,slender
47,182,85,Ectomorph,0,slender
64,197,61,Ectomorph,0,slender
52,190,66,Ectomorph,0,slender
72,162,88,Ectomorph,0,slender
57,192,58,Ectomorph,0,slender
69,194,84,Ectomorph,0,slender
33,174,62,Ectomorph,0,slender
30,191,64,Ectomorph,0,slender
67,185,67,Ectomorph,0,slender
77,176,82,Ectomorph,0,slender
59,187,55,Ectomorph,0,slender
47,156,76,Ectomorph,0,slender
36,154,72,Ectomorph,0,slender
34,192,76,Ectomorph,0,slender
73,194,83,Ectomorph,0,slender
36,180,87,Ectomorph,0,slender
45,172,63,Ectomorph,0,slender
75,191,85,Ectomorph,0,slender
72,159,57,Ectomorph,0,slender
43,181,84,Ectomorph,0,slender
54,192,68,Ectomorph,0,slender
43,179,79,Ectomorph,0,slender
70,188,63,Ectomorph,0,slender
79,180,69,Ectomorph,0,slender
40,167,74,Ectomorph,0,slender
26,185,89,Ectomorph,0,slender
29,151,73,Ectomorph,0,slender
70,163,63,Ectomorph,0,slender
18,162,75,Ectomorph,0,slender
75,178,87,Ectomorph,0,slender
75,161,72,Ectomorph,0,slender
18,188,71,Ectomorph,0,slender
64,151,68,Ectomorph,0,slender
51,181,52,Ectomorph,0,slender
49,162,68,Ectomorph,0,slender
79,195,58,Ectomorph,0,slender
71,176,77,Ectomorph,0,slender
65,198,69,Ectomorph,0,slender
42,190,56,Ectomorph,0,slender
57,166,63,Ectomorph,0,slender
62,189,58,Ectomorph,0,slender
70,180,68,Ectomorph,0,slender
18,183,63,Ectomorph,0,slender
33,173,87,Ectomorph,0,slender
78,194,85,Ectomorph,0,slender
56,184,89,Ectomorph,0,slender
22,197,66,Ectomorph,0,slender
39,155,79,Ectomorph,0,slender
46,168,58,Ectomorph,0,slender
72,179,82,Ectomorph,0,slender
20,156,74,Ectomorph,0,slender
29,159,63,Ectomorph,0,slender
43,190,60,Ectomorph,0,slender
33,181,84,Ectomorph,0,slender
68,183,63,Ectomorph,0,slender
54,177,79,Ectomorph,0,slender
39,164,53,Ectomorph,0,slender
74,179,53,Ectomorph,0,slender
46,186,77,Ectomorph,0,slender
31,178,57,Ectomorph,0,slender
45,171,51,Ectomorph,0,slender
22,153,71,Ectomorph,0,slender
64,169,65,Ectomorph,0,slender
66,181,78,Ectomorph,0,slender
47,185,79,Ectomorph,0,slender
63,199,61,Ectomorph,0,slender
79,153,84,Ectomorph,0,slender
69,176,60,Ectomorph,0,slender
22,166,70,Ectomorph,0,slender
29,161,70,Ectomorph,0,slender
33,171,54,Ectomorph,0,slender
43,166,69,Ectomorph,0,slender
43,159,86,Ectomorph,0,slender
65,150,52,Ectomorph,0,slender
38,171,82,Ectomorph,0,slender
56,175,58,Ectomorph,0,slender
53,167,58,Ectomorph,0,slender
50,199,53,Ectomorph,0,slender
79,163,84,Ectomorph,0,slender
47,196,66,Ectomorph,0,slender
54,178,83,Ectomorph,0,slender
40,161,73,Ectomorph,0,slender
75,185,81,Ectomorph,0,slender
27,184,50,Ectomorph,0,slender
71,161,57,Ectomorph,0,slender
22,156,72,Ectomorph,0,slender
53,178,89,Ectomorph,0,slender
51,160,61,Ectomorph,0,slender
69,182,61,Ectomorph,0,slender
48,155,64,Ectomorph,0,slender
27,196,68,Ectomorph,0,slender
75,164,75,Ectomorph,0,slender
36,181,78,Ectomorph,0,slender
75,160,71,Ectomorph,0,slender
49,172,89,Ectomorph,0,slender
18,175,70,Ectomorph,0,slender
73,183,87,Ectomorph,0,slender
22,195,69,Ectomorph,0,slender
62,183,78,Ectomorph,0,slender
21,178,53,Ectomorph,0,slender
33,153,56,Ectomorph,0,slender
41,166,77,Ectomorph,0,slender
33,184,77,Ectomorph,0,slender
72,162,53,Ectomorph,0,slender
19,190,71,Ectomorph,0,slender
66,188,61,Ectomorph,0,slender
45,164,52,Ectomorph,0,slender
49,178,71,Ectomorph,0,slender
44,178,51,Ectomorph,0,slender
37,160,73,Ectomorph,0,slender
41,181,83,Ectomorph,0,slender
29,151,76,Ectomorph,0,slender
67,196,50,Ectomorph,0,slender
52,163,57,Ectomorph,0,slender
77,169,72,Ectomorph,0,slender
50,171,87,Ectomorph,0,slender
50,160,55,Ectomorph,0,slender
78,176,71,Ectomorph,0,slender
68,152,74,Ectomorph,0,slender
60,166,67,Ectomorph,0,slender
54,193,66,Ectomorph,0,slender
29,177,61,Ectomorph,0,slender
20,178,55,Ectomorph,0,slender
18,170,75,Ectomorph,0,slender
50,196,76,Ectomorph,0,slender
57,165,57,Ectomorph,0,slender
27,186,68,Ectomorph,0,slender
60,169,50,Ectomorph,0,slender
61,155,78,Ectomorph,0,slender
46,168,84,Ectomorph,0,slender
30,154,89,Ectomorph,0,slender
29,152,63,Ectomorph,0,slender
48,150,84,Ectomorph,0,slender
63,187,69,Ectomorph,0,slender
19,164,62,Ectomorph,0,slender
78,183,87,Ectomorph,0,slender
68,184,57,Ectomorph,0,slender
67,198,69,Ectomorph,0,slender
52,174,82,Ectomorph,0,slender
40,173,75,Ectomorph,0,slender
34,161,88,Ectomorph,0,slender
43,167,70,Ectomorph,0,slender
25,164,58,Ectomorph,0,slender
46,193,73,Ectomorph,0,slender
43,165,86,Ectomorph,0,slender
27,176,66,Ectomorph,0,slender
43,157,73,Ectomorph,0,slender
79,195,70,Ectomorph,0,slender
51,174,88,Ectomorph,0,slender
68,166,88,Ectomorph,0,slender
58,178,62,Ectomorph,0,slender
24,157,60,Ectomorph,0,slender
21,164,68,Ectomorph,0,slender
75,176,60,Ectomorph,0,slender
70,195,62,Ectomorph,0,slender
67,199,50,Ectomorph,0,slender
62,156,89,Ectomorph,0,slender
28,152,68,Ectomorph,0,slender
46,178,61,Ectomorph,0,slender
73,193,57,Ectomorph,0,slender
53,173,57,Ectomorph,0,slender
42,152,61,Ectomorph,0,slender
38,169,82,Ectomorph,0,slender
78,195,75,Ectomorph,0,slender
74,164,88,Ectomorph,0,slender
53,174,77,Ectomorph,0,slender
27,179,54,Ectomorph,0,slender
54,163,57,Ectomorph,0,slender
26,156,74,Ectomorph,0,slender
41,166,76,Ectomorph,0,slender
52,193,72,Ectomorph,0,slender
66,169,79,Ectomorph,0,slender
52,185,72,Ectomorph,0,slender
65,158,69,Ectomorph,0,slender
53,187,67,Ectomorph,0,slender
35,197,67,Ectomorph,0,slender
66,171,51,Ectomorph,0,slender
56,151,53,Ectomorph,0,slender
49,173,79,Ectomorph,0,slender
41,157,82,Ectomorph,0,slender
40,160,85,Ectomorph,0,slender
79,162,67,Ectomorph,0,slender
49,166,86,Ectomorph,0,slender
54,157,68,Ectomorph,0,slender
29,170,77,Ectomorph,0,slender
66,167,89,Ectomorph,0,slender
72,179,69,Ectomorph,0,slender
30,167,82,Ectomorph,0,slender
40,195,61,Ectomorph,0,slender
42,196,64,Ectomorph,0,slender
52,180,88,Ectomorph,0,slender
58,187,51,Ectomorph,0,slender
47,181,78,Ectomorph,0,slender
34,160,59,Ectomorph,0,slender
66,194,51,Ectomorph,0,slender
79,174,60,Ectomorph,0,slender
37,182,62,Ectomorph,0,slender
65,187,59,Ectomorph,0,slender
